Num,Name,City,City2,City3,City4,Bunnum,Roadadd,X,Y
1,간절곶등대,울산광역시,울주군,서생면,대송리,01월 28일,간절곶1길,129.3606751,35.35902926
2,고인돌공원,전라남도,순천시,송광면,우산리,452,,127.2245669,34.97921209
3,문화관광,서울특별시,중구,남대문로5가,,Sep-63,세종대로,126.9725007,37.55768534
4,삼청동길,서울특별시,종로구,삼청동,,03월 18일,,126.9816585,37.58775478
5,선진전위치료기,광주광역시,북구,문흥동,,1002-4,서하로,126.9213307,35.18551024
6,설악산국립공원설악동탐방지원센터,강원특별자치도,속초시,설악동,,산27,설악산로,128.4936351,38.17265391
7,통영삼도수군통제영,경상남도,통영시,문화동,,62,세병로,128.4230875,34.847752
8,서울영어마을,서울특별시,강북구,수유동,,522,삼각산로,127.0085152,37.63990361
9,창원의집,경상남도,창원시 의창구,사림동,,69,사림로16번길,128.6816031,35.24445531
10,금성관,전라남도,나주시,과원동,,109-5,금성관길,126.7165232,35.033333
11,헤모수불가마,경기도,용인시 수지구,풍덕천동,,742,풍덕천로,127.1015447,37.32683779
12,설성인형마을,충청북도,음성군,원남면,문암리,593,충청대로,127.6241835,36.85401577
13,황기모아황토염색체험장,전라남도,구례군,구례읍,계산리,473-1,하유길,127.4070022,35.19157374
14,원숭이학교,전라북도,부안군,상서면,감교리,505,부안로,126.6713967,35.66803181
15,어린이대공원매표소,서울특별시,광진구,능동,,18,능동로,127.0839363,37.55130576
16,연세대학교신촌캠퍼스매표소,서울특별시,서대문구,신촌동,,134,연세로,126.9418247,37.56399911
17,의림파크랜드,충청북도,제천시,모산동,,235-1,의림지로,128.2085611,37.17517794
18,향나무,서울특별시,종로구,와룡동,,2-71,율곡로,126.9894727,37.57931836
19,팔각정,전라북도,진안군,주천면,대불리,산230-4,,127.4012408,35.97891716
20,염포야영장,전라남도,고흥군,봉래면,외초리,311,우주로,127.4945367,34.43062117
21,내장산관광테마파크,전라북도,정읍시,부전동,,1004,내장산로,126.8956141,35.52578566
22,법천사지,강원특별자치도,원주시,부론면,법천리,666-2,,127.7641179,37.20924866
23,앵남역(폐역),전라남도,화순군,화순읍,앵남리,754-2,지강로,126.9062792,35.05041577
24,김유정역(폐역),강원특별자치도,춘천시,신동면,증리,945-2,김유정로,127.7164586,37.81945418
25,의암역(폐역),강원특별자치도,춘천시,신동면,의암리,153-1,,127.6813117,37.82405904
26,구절리역(폐역),강원특별자치도,정선군,여량면,구절리,290-82,노추산로,128.7281746,37.51693267
27,구룡역(폐역),전라남도,순천시,별량면,구룡리,563-10,,127.4169963,34.84126746
28,진성역(폐역),경상남도,진주시,진성면,구천리,501-2,진성로259번길,128.2271416,35.1611089
29,죽동역(폐역),경상북도,경주시,외동읍,죽동리,292-4,죽동앞길,129.3145316,35.7444568
30,병영성홍교,전라남도,강진군,병영면,성남리,182-3,홍교로,126.8114013,34.72121209
31,대왕교,울산광역시,동구,일산동,,,,129.4447464,35.49155633
32,전망대휴게소,경상남도,남해군,미조면,송정리,산72-5,,128.0523882,34.74485236
33,코오롱휴양소,경상북도,경주시,양남면,수렴리,518,지경길,129.4499392,35.65372013
34,문장대휴게소,경상북도,상주시,화북면,장암리,산33,문장대2길,127.8625869,36.56631228
35,팔왕휴게소,경상북도,문경시,문경읍,상초리,산42-8,새재로,128.0677428,36.7773803
36,함백산관광안내소,강원특별자치도,정선군,고한읍,고한리,산2-140,금대봉길,128.9127803,37.20240662
37,연단굴,충청북도,단양군,대강면,직티리,산1-1,,128.3454128,36.8902449
38,횡성먹거리단지,강원특별자치도,횡성군,횡성읍,곡교리,128-2,,127.9747582,37.46045896
39,옥지기,강원특별자치도,횡성군,서원면,옥계리,921,,127.8657264,37.39954796
40,적벽강,전라북도,부안군,변산면,격포리,산32,,126.4585961,35.63681772
41,신명지,제주특별자치도,제주시,애월읍,봉성리,Feb-70,,126.3146237,33.41878956
42,인천영어마을,인천광역시,서구,당하동,,350-6,원당대로,126.7125736,37.58724486
43,강원특별자치도립화목원,강원특별자치도,춘천시,사농동,,218-5,화목원길,127.7254157,37.92328699
44,동화사관광단지동화사매표소,대구광역시,동구,용수동,,35,동화사1길,128.7002009,35.99192163
45,국립가리왕산자연휴양림매표소,강원특별자치도,정선군,정선읍,회동리,325-2,가리왕산로,128.5754849,37.42224173
